SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
馬祖,連江縣,34,,良好,0.8,0.09,0,48.2,37,17,,4.2,5.9,1.7,3.9,180,2021/08/22 14:00:00,,15,0,119.949875,26.160469,75
金門,金門縣,27,,良好,0.3,0.07,0,32.1,26,11,5,3.4,5.3,1.9,5.3,193,2021/08/22 14:00:00,8,14,0,118.312256,24.432133,77
馬公,澎湖縣,18,,良好,0.7,0.07,0,21.8,19,2,2,0.6,1.5,0.9,2.4,254,2021/08/22 14:00:00,1,3,0,119.566158,23.569031,78
關山,臺東縣,14,,良好,1,-,-,21.7,15,7,0,1.4,2.7,1.3,2.9,214,2021/08/22 14:00:00,1,11,0,121.161933,23.045083,80
麥寮,雲林縣,20,,良好,1.3,0.06,0.1,22.1,21,21,4,1.3,2.6,1.2,3.2,256,2021/08/22 14:00:00,6,16,1,120.251825,23.753506,83
富貴角,新北市,36,,良好,0.5,0.08,0.1,41,38,11,5,1.8,2.5,0.6,2.2,273,2021/08/22 14:00:00,11,17,0,121.54738,25.29228,84
大城,彰化縣,34,,良好,1.5,0.03,0,23.7,22,11,7,0,1.8,1.8,3.9,295,2021/08/22 14:00:00,10,18,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,36,,良好,1.6,0.12,0.1,43.6,29,52,14,2.8,3.3,0.5,1.6,283,2021/08/22 14:00:00,11,23,1,120.58178611,23.95058333,201
臺南(麻豆),臺南市,23,,良好,1.3,0.07,0.1,30.3,21,8,7,1.8,3,1.2,1.6,333,2021/08/22 14:00:00,7,12,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,35,,良好,1.5,0.21,0.2,53,33,18,12,2.1,2.6,0.5,1.3,321,2021/08/22 14:00:00,10,18,0,120.37722,22.35222,204
新北(樹林),新北市,50,,良好,1.3,0.19,0.2,48.9,30,24,17,6.4,6.5,0,0.8,347,2021/08/22 14:00:00,15,22,0,121.38352778,24.94902778,311
臺南(學甲),臺南市,24,,良好,0.6,0.09,0.1,32.3,22,9,5,3,5.8,2.7,2.3,254,2021/08/22 14:00:00,7,12,0,120.18339722,23.23688056,312
屏東(枋寮),屏東縣,31,,良好,0.8,0.15,0.1,55,34,,5,2.9,3.2,0.3,0.3,351,2021/08/22 14:00:00,6,,0,120.59116667,22.37094722,313
